order,Sentence,hypo
478,"And he was rich - yes, richer than a king.",1
478,His laughter is very loud.,0
482,The flap of skin opened like a cupboard door.,1
501,That was the easiest question in the world.,1
510,Completing the puzzle took me a long time.,0
516,"The town I grew up in is so isolated that rock, paper, scissors is considered a high tech game.",1
525,The minister is going to harm the country with his budget cuts.,0
530,He only has bad thoughts in his brain.,0
537,My lover's arms are good at holding me close.,0
547,"I can't breathe, there are mountains of dust here.",1
568,My bedroom is my private space.,0
579,You can search in heaven and earth but you'll not find me.,1
591,His laughter shakes the walls.,1
594,He could damage the future of the party.,0
609,"You're so sweet, you give me diabetes.",1
620,The secretary is a boot licking lapdog.,1
636,A great courage is needed when bringing a message to a hostile audience.,0
663,"Here I sit, focused on my thoughts.",0
664,Her smoldering eyes still make me feel bad.,0
671,Daisy was hard to get.,0
676,"At this price, it's a steal!",1
682,"I'm a burst of colors today, I'm wearing a yellow t-shirt and red trousers.",1
684,Imagination is the queen of truth.,1
684,It took him about an hour to comb his hair.,1
689,Too many clothes in this Indian summer and I am sweating a lot.,0
695,I'm scared the spider will anaesthetize my legs and start biting them.,0
705,These flowers are absurdly awesome!,1
708,I did not suspect it would be so good: this book is a pit of wonders.,1
714,That chocolate melts in your mouth smoothly.,0
722,The water in the sea is almost boiling.,1
723,The taste of Kellogg's Frosted Flakes brings out the tiger in you.,1
725,"Sad to say, but she was a constant drinker.",0
726,A hundred thousand apologies would not be enough.,1
731,Her skin was very fair.,0
740,It was said that he had read so many books that his brain dried up.,1
746,It is very hard to believe!,0
749,She's expressing all her feelings out loud with hate.,0
755,I mean this was Toyland in the midst of the depression.,1
757,Junk food is the one thing they'll buy in spades.,1
769,When the girl lost her puppy she cried many tears.,0
782,"Come on, I can keep secrets.",0
787,"As he grew, Victor became a shining star in a family of achievers.",1
788,"See, my dear, a pair of high heels is indispensable these days.",1
788,I have a horrible face today.,1
819,That old soldier is ready for another battle. He's tough.,0
823,He was skinny enough to jump through a small hole.,0
827,Marriage is the grave of love.,1
830,Miss Trunchbull's lips stretched in a glacial smile.,1
838,Their latest album quickly moved up the charts.,0
840,Living under my parents' control is awful!,0
847,They go about together.,0
848,"You are not a fully-grown man, you are a clown.",1
848,I write my diary when I feel crushed by the weight of life.,1
850,His version of the facts is much more convincing.,0
861,I thought we had a deal but you betrayed me.,0
874,I went into the shop and we cleared the shelves out.,1
875,We've been here countless times.,1
879,Many people say that my father is still immature.,0
890,"I heard you possess eagle vision, Mister.",1
904,"Forget knocking it out of the park, Frank can knock a baseball to a much larger distance.",0
919,The gladiator beated all his opponents with his superhuman strength.,1
923,Travel increases your knowledge.,0
924,It is enough to fright you out of your seven senses.,1
926,My whole sense of being had been shattered by an emotional shock.,0
932,Your predictions were right. You have great intuition.,0
935,There's dust everywhere.,1
939,And with all this romantic atmosphere something could go wrong.,0
954,Sacrificed my french fries to his hunger.,0
972,"When my parents enrolled me in college, they basically sentenced me to death.",1
979,His nose resembles Pinocchio's nose when he lies.,1
979,The president has fought tooth and nail to be reelected.,1
984,An army of artists was crowding the room.,1
985,The massages at the spa render very good results.,0
989,She had an ethereal glow about her.,1
990,She's a difficult person to work with because she has no filters.,1
1000,I know this place very well.,0
1007,"Whenever I watch the movie, that scene strikes me.",0
1014,One could swear that the contortionist had no bones.,1
1022,It's a difficult time.,0
1025,The perfect pound cake recipe is valuable.,0
1037,No other friendship could be so strong.,1
1080,It's the end of the world.,1
1081,New York is the promised land to him.,1
1082,It's painful to see you eating pineapple pizza. It hurts my Italian heart.,1
1085,I'm a hundred percent American.,1
1087,Travel broadens your brain.,1
1091,"She has so many watches, it's not possible to wear them all.",0
1099,"Well, this travel's going to be the start of a new life for us.",1
1099,"To some, AI is taking the lid off Pandora's box.",1
1120,His piano playing is very bad.,0
1131,I'm on a whisky diet. I've lost three days already.,1
1134,"Man, your compassion is greater than space.",1
1148,Each of these girls is delicate and lovely.,0
1159,"He hurts everybody, he has a sharp tongue.",0
1160,"Of the two brothers, the oldest was the smartest.",0
1165,"I only step on your toe, don't make a big deal out of it.",0
1171,"I have fever, moving is difficult.",0
1176,This one is valuable: you don't touch him.,0
1185,My stomach almost bust.,1
1192,Many people say that my father is still a kid.,1
1201,He has little charisma.,0
1204,They were in a trance when arguing with that manipulator.,1
1211,My tongue is really rough.,0
1222,"This steak is so rare, I think it is still raw.",0
1252,I almost jumped out of my skin.,1
1256,He's very mad.,0
1262,I must impose restrictions upon myself.,0
1285,This room is an oven.,1
1286,Religion is the control of the people.,0
1292,I'm not staying here any longer!,0
1303,It's an indefensible sin to steal a pin.,1
1305,We must obey my mother's whims! We bow to her power!,1
1305,Granma was a harsh school girl who made kids behave. She was a real strict person.,0
1312,"Sometimes, ignorance is bliss.",1
1323,That lawyer's words are bullets.,1
1326,This is how to be irresistible to women.,1
1329,I tasted a very strong flavour.,0
1336,I swear you've doubled in size since I saw you last month.,1
1343,My aim is very certain.,0
1345,That runner is very fast.,0
1368,Your room is messy!,0
1372,Christmas will never come.,1
1381,Jason would rather lose an arm than lose face by pulling out.,1
1396,It's all top secret and now everybody's trying to be careful.,0
1409,The town I grew up in was isolated and behind the time.,0
1412,Once I would open a bag I could not stop eating.,1
1414,"Your beard is so hairy, you look like Chewbacca.",1
1421,Being led around aimlessly felt dull.,0
1423,I worked myself to the bone.,1
1425,He has a lot of cash.,0
1430,The joke was just epic!,1
1431,The reputation of this pizza's hanging by a thread.,1
1432,The eye of a master does more work than both his hands.,1
1446,I was surprised by the elegance of the B&B.,0
1456,It's been a long time since I found someone nice to me.,0
1458,"I'm moving, all my life's in this luggage.",1
1516,That child is a trouble maker.,0
1522,Not much of it made sense.,0
1528,The style is the man.,1
1529,Inviting my mother-in-law to stay here is bad idea.,0
1532,This discovery is like a tender newborn to young scientists.,1
1545,You don't listen to me.,0
1549,A man without a purpose is an unfulfilled individual.,0
1560,Love you so much.,0
1564,The water in the sea is really hot.,0
1565,I am trying to solve many issues these days.,0
1582,She thinks avocado tastes terrible.,0
1587,This one is valuable: you don't touch a hair of his head.,1
1587,These people would follow you to the end of the earth.,1
1601,The new king'll be all-time adored.,1
1607,Reading dog food labels is hard to understand.,0
1614,"When my parents enrolled me in college, they basically made my life very hard.",0
1617,I do not work without coffee: it is my sustenance.,0
1623,Its golden roofs are brighter than the sun itself.,1
1634,"Whenever I watch the movie, that scene kills me.",1
1634,The taste is very good.,0
1636,He's leaping up and on the bed too vigorously.,0
1649,Be very silent.,0
1652,"The temperature was so low, I saw polar bears wearing jackets.",1
1652,Johnny worshipped the ground Dallas walked on.,1
1654,He changed his mind very fast.,0
1656,"And his sensibility, oh, he must be related to those machines that register earthquakes.",1
1656,"Move, we have little time.",0
1662,"I just can't seem to forget him, he contaminates my head.",1
1664,It's tough for me to get into the army.,0
1673,"My love, you are so important.",0
1676,Manners make the man.,1
1677,I've drowned myself trying to help you.,1
1682,"You unreasonable, pompous, blustering, old windbag!",1
1684,I've found the place I want to be not far from home.,0
1691,"With each of her screams, the world felt very sorrowful.",0
1699,Many questions were fired at us.,1
1717,"Two years ago, I catapulted myself into the fashion world.",1
1736,"Don't touch a woman, not even with a flower.",1
1741,The secretary was up to her eyeballs in paperwork.,1
1743,A player who can stop our team from winning the championship would be hard to find.,0
1745,I'm so thirsty that I would drink a river.,1
1756,Looking for a lightweight tripod.,0
1759,Let's go as far as we can Buzz.,0
1759,I am so tired I could sleep for a long time.,0
1763,I could live on these broccoli and there is no need for anymore to say.,1
1764,"Your plan is too risky, it's dangerous.",0
1770,People really listen to what you say.,0
1774,"Your father is well known, no one worked hard for the community like he used to do.",0
1780,I can smell pizza from a mile away.,1
1782,You're behaving childishly dad.,0
1794,TV is bombarding us with subliminal messages.,1
1801,My heart's hurt right now.,0
1804,Jack Marshall wouldn't hurt anyone.,0
1811,It's time to stop living like a dead man.,1
1811,Life is a hospital where we fight to cure ourselves.,1
1813,They sell books by a great number of authors.,0
1815,You hear that noise? It's ear-piercing.,1
1818,Peter's essay constituted yet another long monologue.,0
1820,His mother is very apprehensive and keeps him in a bubble.,1
1820,The flap of skin opened wide.,0
1821,You need an elevator to look at him in the eye.,1
1826,You hear that noise? It's very loud.,0
1827,My mother is authoritarian.,0
1845,We're going to turn this sow's ear into a silk purse.,1
1848,Why did you beat him so badly?,0
1851,There are large amounts of clothes in my wardrobe!,0
1853,Cry me a river.,1
1853,Give her a lot of compliments.,0
1862,You're being stalked by an emotional vampire.,1
1878,We live by ourselves in everyday life.,0
1888,So much snow that it's like walking on a soft ground.,0
1892,Changing your favorite team is like breaking a blood oath.,1
1895,My sisters mean more than air to me.,1
1897,I'll tell you a tale of the boundless blue that is the ocean.,1
1902,The house is very small.,0
1905,"No matter what anybody says, you'll always be a prince to me.",1
1909,Look at her fast moving fingers articulating words as she writes her report.,0
1914,The minister is going to wreck the country with his budget cuts.,1
1935,The joke was very good.,0
1966,Guess you've run out of thoughts.,1
1972,Franch's is more than the best.,1
1972,I've had to reinvent myself from the ruins of my choices.,1
1988,This dirty money we're using to finance the campaign is a ticking time bomb!,1
1993,I was impressed with how large the size of the potatoes was.,0
2021,I would recognize my sisters a day's march away.,1
2022,It is idle to swallow the cow and choke on the tail.,1
2039,The gladiator beated all his opponents with his great strength.,0
2044,You can search everywhere but you'll not find me.,0
2057,It's hot enough to fry an egg on the sidewalk.,1
2070,When my dog waves his tail rotates very fast.,0
2075,"When sorrows come, they come not single but many at a time.",0
2081,I would eat pizza often.,0
2087,You are very slow.,0
2090,They sell books by every author who has ever set pen to paper.,1
2110,I swear he'd not take a whiff of it!,0
2111,I'm over-heated.,0
2116,It would be difficult to beat level six.,0
2119,His ambitious hunger moves him to a pantagruelic attempt.,1
2122,He's as mad as a hippo with a hernia.,1
2122,Why did you beat him to a pulp?,1
2124,"You've made me the happiest man alive, Rita.",1
2136,The painter knows that looking at the beautiful landscape is an orgasmic experience.,1
2161,Let me see a vast amount of knowledge.,0
2168,Many apologies would not be enough.,0
2170,This is very nice seasoning salt.,0
2176,"March comes in like a lion, and goes out like a lamb.",1
2177,"But you are mute, quiet.",0
2178,"Sorry, I'm unfocused.",0
2187,"At that point, the presidency was fatally wounded.",1
2205,I am in the middle of an emotional tornado.,1
2215,The painter knows that looking at the beautiful landscape is an enjoyable experience.,0
2226,I've sacrificed a lot to help you.,0
2238,Cry a lot.,0
2239,Each of his drawings is pleasing to the eyes.,0
2241,The Eagle soars in the summit of the azure.,1
2246,I enjoy my green tea fix each morning!,0
2263,For dinner he would eat a lot of grain.,0
2277,Not a word of it made sense.,1
2281,The argument with my bestfriend turned into a tempest in a teacup.,1
2282,Not too far away is an empire of chicken farms.,1
2285,I wouldn't miss the party for anything in the world.,1
2300,You could have knocked me over with a feather.,1
2321,"He had a great reputation as an orator, and is characterized by Ennius as the example of persuasiveness.",0
2350,"Sometimes, ignorance is good.",0
2355,Her beauty is noteworthy.,0
2365,We're going to turn this sow's ear into something more valuable.,0
2385,Anna's cooking is a force of nature.,1
2393,"You won't beat this taste, it is insurmountable.",1
2407,Bittersweet nectar flows in measureless abundance.,1
2412,Shower her with compliments.,1
2423,His nose became so long that he could not even turn around.,1
2442,John has a nice smile.,0
2443,It annoys me when you only drink half of the soda.,0
2451,Each of these girls is a perfect porcelain doll.,1
2454,Fabulous new haircut!,1
2473,The principal is unhappy...we're in trouble.,0
2480,They were probably hoping to punish me in front of the people.,0
2491,You could have easily knocked me over.,0
2499,Old Mr. Smith has been teaching here for a very long time.,0
2501,"She stood frozen, searching for him.",1
2505,It is a truth universally acknowledged that a single man in possession of a fortune must be in want of a wife.,1
2515,"As the exam date approaches, she becomes a sort of hermit, spending all her time in her room.",1
2524,You can tell the judge how you made it vanish into thin air.,1
2534,"Starting from today, I'm acting in a new way.",0
2535,He's a giant but is not intelligent.,0
2545,"Apparently, my fingers are slippery tonight.",0
2551,It's obvious.,0
2552,Tiny snowflakes began to fall.,0
2553,He walked down the road to nowhere.,1
2558,Idleness is the root of evil.,1
2568,A roaring deluge of applauses followed the performance.,1
2568,I am sure that you will laugh.,0
2569,The reputation of this pizza is at risk.,0
2571,He's a giant with the brain of a chicken.,1
2572,We were getting to be like two goldfish in a bowl with no way out.,1
2578,"At this price, it's a very good deal!",0
2588,For a few dollars they would start a war.,1
2638,This drink is very energizing.,0
2646,Perfection assassinates creativity.,1
2647,His piano playing is enough to make Beethoven turn in his grave.,1
2649,"She stood still, searching for him.",0
2657,We picked up a bottle once on a trip and were surprised.,0
2676,Moms are more powerful than the sea.,1
2679,She met my dad and then got whizzed off to so many different countries.,1
2694,In that library they have a lot of books.,0
2699,The pain was unendurable.,1
2704,March comes in fiercely and goes out meekly.,0
2711,"Social security, health, welfare and education systems are being laid on a Procrustean bed.",1
2715,Nobody can beat level six.,1
2721,Life goes in a heartbeat.,1
2728,That old soldier is ready for another battle. He's made of iron.,1
2732,My heart burns for you.,1
2738,The secretary was pounding the keyboard trying to finish the report.,1
2745,He is a bad man.,0
2754,You are what you eat.,1
2759,"My aunt is so fat that when she walks by the TV, I can't see the screen.",0
2782,My grandpa snores very loudly.,0
2784,No offence but she's out of the world dumb.,1
2794,"I now embrace ""Hollywood"" endings, but there was a time when I liked kill-offs.",0
2798,His feet are very cold.,0
2808,It's a no brainer.,1
2820,"If this character was a real person, I'd hurt him.",0
2820,Turning your face away is insulting.,0
2824,He lives far away - on the other side of the Galaxy.,1
2827,You're very sweet.,0
2829,He thinks that the affectual bonds prevalent in the older world has been pulverized by modernity.,1
2830,I really want to have that new phone!,0
2831,That man corrupts almost anything he has contact with.,0
2838,"During the debate, the president ate reporters and photographers.",1
2848,The old driver arrived on time.,0
2849,Haven't seen you in ages.,1
2850,The story hit the web and created excitement on the chat sites.,0
2866,"He that drinks beer, only thinks beer.",1
2866,Sometimes asking feels very dangerous.,0
2878,The style is important to how we see a man.,0
2888,The player is undeniably talented.,1
2915,They will admire his talent.,0
2917,"You stepped on a land mine, boy.",1
2922,His classmates laughed at him saying he had a very little brain.,0
2926,"She is only a follower, acting on the directives of her friends.",0
2937,That child is getting into a whole world of trouble.,1
2945,"With each of her screams, the world came apart.",1
2945,I'm living on bread and water.,1
2949,You're in a lot of troubles for telling mum I didn't have lunch!,0
2950,He's a monster.,1
2954,There was a magical atmosphere.,1
2954,He lost his shirt in the stock market.,1
2978,"As he grew, Victor became the best amongst the family of high achievers.",0
2985,This year the new fashion trends spread like wildfire.,1
2986,Seeing my best friend again would mean a lot to me.,0
2994,There lived a man as big as a barge.,1
2994,The boy is handsome...and he knows it.,0
3011,Doesn't change the fact that we are in deep trouble.,0
3036,I lost my sense of humor in the before Christ to be precise.,1
3036,Disaster is imminent.,0
3044,That was an easy question.,0
3051,My spirit is crying for leaving.,1
3054,"You can see what she's thinking, she's easy to understand.",0
3065,College students eat unhealthy food.,0
3078,"If Sylvia flirted with Johnny, Steve threatened to beat her.",0
3097,The mail was taking on large proportions.,0
3107,It turns out Crumpet Manor had left Lily into a comatose state of relaxation.,1
3122,Being led around aimlessly felt like being a zombie.,1
3132,Your kindness turns me upside down.,1
3132,A large group of artists was crowding the room.,0
3137,I want to get you out of my head.,1
3142,Most of the businesses here are already skating on thin ice because of the economy.,1
3145,The global crisis has seen prices rise over the past week.,0
3151,I don't think a herd of elephants would be as noisy as this class is today!,1
3154,April is the worst month.,0
3161,Franch's is the best.,0
3161,Manners are an important aspect of being a man.,0
3175,"Well, dear, her hostess would reply with a frigid smile.",1
3178,I have been enjoying this tea for a long time.,0
3178,I can see you are not thinking straight.,0
3192,Cowards die many times before their death.,1
3221,John invariably knows the right thing to say.,1
3221,Illusion is a powerful tool.,0
3244,This kind of anger rages like a sea in a storm.,1
3251,This is a tough situation. You're having a gorilla on top of you.,1
3271,You will very likely give a good first impression.,0
3275,After lunch I was very full.,0
3280,I couldn't believe how large the size of the potatoes was.,1
3286,"I don't lie, I'm a slave to the truth.",1
3290,Why do we have four thousand forks and no spoons?,1
3297,The minister told the guests that the couple's friendship was sweeter than honey.,1
3322,"You unreasonable, pompous, blustering, old bigmouth!",0
3326,This is a very good deal!,0
3332,It seems to have been raining for a long time.,0
3336,People say Massimo has excellent cooking powers.,0
3340,She gave a mean glare at the people making fun of her.,0
3341,I write my diary when I feel under pressure.,0
3352,The taste of Kellogg's Frosted Flakes brings out your wildness.,0
3368,You need a bench to look at him in the eye.,0
3372,There lived a large man.,0
3380,"My job is so boring, I want to die.",1
3384,And soon I'll be famous beyond belief.,1
3387,Dad went ballistic when he saw the dent in his car.,1
3402,He is so vicious that there should be a harsh punishment specifically for him.,0
3410,She spilled the wine on the table...this is a catastrophe!,1
3413,He's light like a feather.,1
3419,"You can see what she's thinking, like she's almost transparent.",1
3432,Hope deferred makes the heart sick.,1
3448,The perfect pound cake recipe is worth its weight in gold.,1
3448,"Cheryl is so moody, she's four seasons in a day.",1
3458,The king is above the law.,0
3476,The lesson was taking forever.,1
3483,It was said that he had read so many books that his brain stopped working properly.,0
3485,The meeting was terrible.,0
3496,I would commit murder to have that new phone!,1
3507,Supernatural courage is needed when bringing a message to a hostile audience.,1
3522,The meeting was a nightmare.,1
3529,The crowd was enchanted by the performance.,1
3530,I just got hit by an avalanche of cramps.,1
3546,Have you seen the very busy activity in grandma's kitchen?,0
3569,"When your mother saw you, she was about to pass out from excitement.",1
3586,Faith will move mountains.,1
3596,"As a father, in this moment, there's just pain in my heart.",1
3615,I'm requesting! Give me the last piece of the cake.,0
3617,An idle brain is the place where evil thoughts arise.,0
3621,She can easily get what she came for.,0
3633,I'll be crystal clear: I don't like him.,1
3634,"Speech is silver, but silence is golden.",1
3659,"Here he was, in total control.",1
3661,"And your father and I worked on those plans together, for months and months and months.",1
3664,"Given its advanced technologies, this car is more a sophisticated piece of machinery than a regular car.",0
3683,It was unpleasant seeing her in those cheap shabby clothes.,0
3684,My bedroom is my sanctuary.,1
3703,These are proof of how smart the human race is.,0
3705,Those criminals thrive on acts of violence.,0
3706,Everybody's eyes are as large as saucers.,1
3707,Shuttling between conferences over the past years has been an interstellar enterprise.,1
3718,Marta is late to her appointments.,0
3723,Admit you're a Judas.,1
3735,A man can have a very large belly.,0
3737,"Starting from today, I'm a brand new person.",1
3740,I mean this was something fun in the midst of the depression.,0
3741,Perfection is not good for creativity.,0
3744,What you eat affects you.,0
3754,This is the single most important advice of your life.,1
3774,It is very difficult to love and be wise.,0
3780,They were probably hoping to crucify me in front of the whole world.,1
3786,My heart's bleeding right now.,1
3789,"Given its advanced technologies, this is more of a spacecraft than a regular car.",1
3791,I'm speechless!,1
3798,Chris won't drive her home because she lives on the other side of the universe.,1
3803,I would eat pizza at every moment.,1
3815,One picture is worth ten thousand words.,1
3830,He orders his family not to forget that he is the king of his house.,1
3832,"Your father is a legend, no one worked hard for the community like he used to do.",1
3839,The level of discombobulation in the realm of global politics is simply colossal.,1
3842,Knowledge without conscience would have a deleterious effect on your soul.,0
3856,My aim is as certain as the rising sun.,1
3865,He is so vicious that there should be a circle in Dante's Inferno specifically for him.,1
3871,Miss Trunchbull's lips stretched in a serious smile.,0
3877,"See, my dear, a pair of high heels is important these days.",0
3881,He has an encyclopedic knowledge of the impressionists.,1
3891,"Set a beggar on horseback, and he'll ride to the devil.",1
3893,You'll have a great fun.,0
3903,Shopping drained me today.,1
3905,The act of love strongly resembles severe pain.,0
3914,Bikers coming from behind you are a calamity on the roads.,1
3927,Dust-like snowflakes began to fall.,1
3937,I'm convinced!,0
3944,Most things are possible!,0
3948,Turning your face away is a punch in the gut.,1
3957,"Your interpretation goes too far, it's a Pindaric flight.",1
3961,Everybody's eyes are very big.,0
3963,It drives me crazy when you only drink half of the soda.,1
3976,This musician is the god of guitar.,1
3985,"That joke is so old, the last time I heard it I was riding on a dinosaur.",1
3987,"No one knows where Gatsby came from, but he was surely swimming in money.",1
3994,He used to teach there and used to get harassed by all the pupils.,1
3999,She can make me follow her easily.,0
4014,Making drastic choice is necessary for an adventurous life.,1
4021,"I mean, you have the kind of talent that I would chop off my head to have.",1
4034,She feels she is in the darkness: she's desperate.,0
4047,That runner is faster than light.,1
4050,"When you open this map, you own the city.",1
4061,She's like vomiting all her feelings out with hate.,1
4080,College students eat crap.,1
4088,"Intellectually speaking, this city is very sterile.",0
4091,Professors read a lot of essays.,0
4099,My paperworks piled up high.,0
4106,The news has been exaggerated.,0
4108,You're beautiful.,0
4131,The task was of too difficult a nature to be accomplished within four years.,0
4139,"New hair, new life.",1
4144,"The noise was so great, that it was heard in both the countries.",1
4145,He has a whole room filled with cash.,1
4149,A long line at the cashier.,0
4150,"I'm quite imperturbable, it's very tough to rock me.",0
4169,The veteran proclaimed he had tree trucks for legs.,1
4169,The lesson was taking a long time.,0
4178,"No more food, I'm satiated.",0
4183,We are traversing the vast desert of everyday life.,1
4189,At no point in my life I'll say "never".,1
4194,Football is the thing he cares about the most.,0
4208,Her hair is the same as Rapunzel.,1
4208,Seeing you again - my life is changed irrevocably by this.,0
4210,My sister is a vortex of intelligence in space.,1
4213,Being out of fashion is very bad.,0
4221,You have my attention.,0
4225,At no time does a watched pot boil.,1
4241,"No one knows where Gatsby came from, but he surely had a lot of money.",0
4245,A man without purpose is an empty individual.,1
4269,"Forget knocking it out of the park, Frank can knock a baseball off the continent.",1
4270,This spray has the odour of freshness of the ocean breeze.,0
4273,"Your interpretation goes too far, it lacks of unity.",0
4274,"I have fever, I can't move.",1
4288,The contortionist was flexible.,0
4290,The argument with my bestfriend turned into a fight.,0
4294,"Well, this travel's going to be a new opportunity for us.",0
4298,This drink is a rocket in a bottle.,1
4302,My heart shakes for you.,0
4306,The study of beauty is a duel in which the artist suffers.,0
4311,The big bells very loud.,0
4319,ABU is drawn to it.,0
4333,Moms are so powerful.,0
4333,His nose became so long that it troubled him.,0
4337,My nephew is making huge efforts.,0
4337,"I'm very tired, for Christ's sake!",0
4363,The work of the farm seemed to rest on this horse's mighty shoulders.,0
4366,The principal is unhappy...we're cooked.,1
4371,This kind of anger rages violently.,0
4373,Your pride is bad.,0
4378,Faith is a strong motivator.,0
4379,Molasses buckets appeared unexpectedly.,0
4400,Molasses buckets appeared from nowhere.,1
4413,The title says it all.,1
4413,He has many debts.,0
4433,"Here I sit, sunk in my thoughts.",1
4451,I was dazed by the elegance of the B&B.,1
4453,I've been enjoying this tea for all my life.,1
4453,"Man, your compassion is huge.",0
4455,That girl is manipulated by what she sees on TV.,0
4460,It's raining cats and dogs.,1
4462,"That said, I'm feeling close to defeated.",0
4463,I can't stand being away from you.,0
4466,That child is getting into a lot of trouble.,0
4470,We've been dealing with it for months.,0
4491,What kind of sorcery is this?,1
4494,I want to leave badly.,0
4511,"After watching the movie, I wanted to hurt the villain.",0
4514,He is just being fanciful if he does not take any action.,0
4523,One winter was colder than normal.,0
4525,Your indifference is upsetting me.,0
4548,It's raining hard.,0
4554,He hiccuped endlessly.,1
4568,Give a man rope enough and he will hang himself.,1
4569,I can achieve great things with you by my side.,0
4574,Your beard is very hairy.,0
4576,"Dresden was kind of the moon, it did not have many appeals.",0
4579,Books are important for avid readers.,0
4579,Hyperbole is a great thing.,0
4588,Johnny was scared of his own shadow.,1
4588,There's no index and the story isn't linear: this book is poorly written.,0
4592,Religion is the opiate of masse.,1
4599,That girl's eyes shine like stars.,1
4600,"My job is so boring, I don't want to do it.",0
4614,"If our plan goes up in smoke, I leave the group.",1
4621,The last thing makes everything worse.,0
4646,The olives are better than other olives out there.,0
4672,Daisy was an unattainable woman.,1
4706,For a few dollars they would fight.,0
4709,My hair is poker-straight.,1
4719,A day was twenty-four hours long but seemed longer.,1
4725,I'd rather French kiss a rattlesnake than miss a gym period.,1
4732,New hair will feel like a fresh start.,0
4742,My ex boyfriend! Treacherous person!,0
4753,Stop bothering him: you're playing with fire.,1
4756,I apologized like a madman.,1
4763,You are but unreasoning apes.,1
4765,You're too beautiful.,1
4767,Living under my parents' control is a damnation!,1
4768,What she touches becomes of value or blessed.,0
4781,"When your mother saw you, she was so very excited.",0
4792,Their headmaster seemed to be all around the school all the time.,0
4793,"And there, before you, is great barbeque.",0
4796,Beauty draws very easily.,0
4799,You have ravished me away by a power I find difficult to resist.,0
4807,It is uncomfortable to live without my phone.,0
4818,"If our plan fails, I leave the group.",0
4821,I'm scared the spider will anaesthetize my legs and start chomping them.,1
4821,My professor is very creative.,0
4825,If I tried to carry all that cargo in my head it would make me quite tired.,0
4829,The taste is perfect.,1
4839,Shami and Peter are very happy together.,0
4859,I've got a thorn in my heart.,1
4862,My paperworks piled up to the ceiling.,1
4889,My little sister gravitates towards me. She's my satellite.,1
4894,My dad'll hit the roof when he finds out that I wrecked his car.,1
4904,She spilled the wine on the table...this is unfortunate!,0
4919,My parents would have a fit if I told anything personal about them.,0
4925,He appeared graceful.,0
4941,Weight training is ridiculously good for you.,1
4943,I swear you have grown since I saw you last month.,0
4944,The little girl was crying a lot.,0
